workflow,tables
0VEBSpO63nEiR1xh:420 HR AI Interview Receiver v1.0,"hr_ai_interviews;hr_job_applications"
0Z1A7e5Cp8LraOnL:420 HR Sourcing v2 — Phase 4 Save & Enroll,"hr_candidates;hr_job_applications;hr_job_requisitions;hr_sourcing_runs"
31qSIf2I6VAF2loU:420 HR Policy Sync v1.0,"hr_documents"
4u2H6AwbDnYcGQW5:420 HR Training Avatar Video v1.0,"hr_training_programs"
5WLVNYiiAHJYKuFW:420 HR Auto Punch-Out Cron v1.0,"hr_attendance;hr_attendance_rules"
A0M2juuizluBwASl:420 HR Auto-Review v1.0,"hr_attendance;hr_documents;hr_employees;hr_leave_requests;hr_performance_cycles;hr_performance_reviews;hr_training_records"
E8HZhv4y4MRb6n9F:420 Marketing v 2.6,"hr_employees"
GoLKFQ3raVFyDg40:420 HR Auto-Pipeline v1.0,"hr_auto_decisions;hr_auto_mode_config;hr_candidates;hr_job_applications;hr_job_requisitions"
HTuKFLf8uiDnzPJA:420 HR Training Generator v1.0,"hr_training_programs"
K46ve7frdaHYBpn2:420 HR Generate Job Questions v1.0,"hr_job_requisitions"
MatQ3J4HYAgKiJ6A:420 HR AI Interview Question Gen v1.0,"hr_ai_interviews;hr_candidates;hr_job_applications;hr_job_requisitions"
PWb5cPBpK4FTgwwW:420 HR Sourcing v2 — Phase 3 Enrichment,"hr_job_requisitions;hr_sourcing_runs"
Tu7QL8CZdiyQCYGG:420 HR Leave Request v2.0,"hr_leave_balances;hr_leave_requests;hr_leave_types"
U9Yb2JSa46NlOKXC:420 HR part1 - v1.1,"hr_ai_insights;hr_announcements;hr_asset_assignments;hr_attendance;hr_audit_logs;hr_candidates;hr_departments;hr_documents;hr_employees;hr_expense_claims;hr_goals;hr_interview_schedules;hr_job_applications;hr_job_requisitions;hr_leave_balances;hr_leave_requests;hr_leave_types;hr_notifications;hr_performance_reviews;hr_policies;hr_public_holidays;hr_recruitment_outreach;hr_shifts;hr_skills;hr_surveys;hr_training_programs;hr_training_records"
VDDy59DDJsihAUAX:420 HR AI Screening v1.0,"hr_candidates;hr_job_applications;hr_job_requisitions"
XjSilVmjJeRIwNMF:420 HR Sourcing v2 — Phase 2 Google Search,"hr_candidates;hr_job_requisitions;hr_sourcing_runs"
YsOhnEct1zWljE3L:420 HR Sourcing v2 — TS Trigger,"hr_job_requisitions;hr_sourcing_runs"
bLXL1ujHv9wD7RX1:420 HR AI -> OMEGA Bridge v1.0,"hr_documents;hr_employees;hr_leave_balances;hr_leave_requests"
bcaK7Lxd0HgtVfqW:420 HR AI Interview Call v1.0,"hr_ai_interviews;hr_candidates;hr_job_requisitions"
hDmRNaIrs1qJHuYq:420 HR Job Q-Gen Auto-Fill v1.0,"hr_job_requisitions"
i39PJEW8Z7IkFkUY:420 HR Onboarding v2.0,"hr_employees;hr_leave_balances;hr_leave_types"
l1RMxMScCbvXOqmm:420 HR Sourcing v2 — Phase 1 Career Scraping,"hr_job_requisitions;hr_sourcing_runs"
mlsC24hFDv6O7GyG:420 AI Agent Activator v1.0,"hr_employees"
rG1G3WHbqUHB295n:420 Intelligence Hub v2.3,"hr_attendance;hr_candidates;hr_employees;hr_job_requisitions;hr_leave_requests;hr_notifications"
tHIN8s5hurqzRU7g:420 HR Part 2 - v1.9.3,"hr_ai_insights;hr_ai_interviews;hr_announcements;hr_asset_assignments;hr_attendance;hr_attendance_corrections;hr_audit_logs;hr_candidates;hr_compliance_logs;hr_conversations;hr_departments;hr_documents;hr_employees;hr_expense_claims;hr_goals;hr_interview_schedules;hr_job_applications;hr_job_requisitions;hr_leave_balances;hr_leave_requests;hr_leave_types;hr_notifications;hr_payroll;hr_performance_reviews;hr_policies;hr_public_holidays;hr_recruitment_outreach;hr_shifts;hr_skills;hr_sourcing_runs;hr_surveys;hr_training_enrollments;hr_training_programs;hr_training_records"
